"Long (WMORTG)" "Short (FF)"
"233" 9.16 6.28
"234" 9.14 6.29
"235" 9.14 6.36
"236" 9.2 6.06
"237" 9.21 5.82
"238" 9.21 5.73
"239" 9.26 5.65
"240" 9.24 5.17
"241" 9.19 5.24
"242" 9.16 5.24
"243" 9.12 5.28
"244" 9.11 5.25
"245" 9.11 5.26
"246" 9.11 5.17
"247" 9.08 5.18
"248" 9.09 5.18
"249" 9.1 5.12
"250" 9.07 4.76
"251" 9.01 4.81
"252" 9 4.8
"253" 8.9 4.82
"254" 8.86 4.73
"255" 8.83 4.7
"256" 8.81 4.8
"257" 8.75 4.95
"258" 8.77 4.86
"259" 8.75 4.77
"260" 8.75 4.79
"261" 8.75 4.84
"262" 8.7 4.73
"263" 8.7 4.77
"264" 8.75 4.78
"265" 8.75 4.93
"266" 8.75 5.03
"267" 8.75 5.02
"268" 8.75 5.28
"269" 8.78 5.5
"270" 8.78 5.54
"271" 8.78 5.44
"272" 8.83 5.47
"273" 8.88 5.48
"274" 8.9 5.58
"275" 8.93 5.37
"276" 8.93 5.27
"277" 8.93 5.3
"278" 8.9 5.28
"279" 8.98 5.36
"280" 9 5.25
"281" 9 5.29
"282" 9 5.28
"283" 9 5.28
"284" 9 5.25
"285" 8.97 5.22
"286" 8.97 5.21
"287" 8.97 5.32
"288" 8.9 5.17
"289" 8.95 5.02
"290" 8.95 4.97
"291" 8.95 4.99
"292" 8.9 5.06
"293" 8.85 4.98
"294" 8.8 5.02
"295" 8.8 4.9
"296" 8.8 4.78
"297" 8.8 4.67
"298" 8.8 4.68
"299" 8.8 4.63
"300" 8.78 4.66
"301" 8.78 4.47
"302" 8.7 4.55
"303" 8.73 4.65
"304" 8.73 4.72
"305" 8.73 4.6
"306" 8.68 4.66
"307" 8.7 4.7
"308" 8.65 4.74
"309" 8.65 4.68
"310" 8.65 4.63
"311" 8.7 4.62
"312" 8.7 4.77
"313" 8.7 4.74
"314" 8.7 4.6
"315" 8.75 4.65
"316" 8.75 4.71
"317" 8.78 4.82
"318" 8.78 5.15
"319" 8.78 5.31
"320" 8.83 5.34
"321" 8.83 5.45
"322" 8.85 5.36
"323" 8.85 5.31
"324" 8.85 5.37
"325" 8.85 5.43
"326" 8.88 5.43
"327" 8.95 5.35
"328" 8.93 5.33
"329" 8.95 5.35
"330" 8.95 5.45
"331" 8.93 5.8
"332" 8.95 5.7
"333" 8.95 5.94
"334" 8.93 5.99
"335" 8.93 6.02
"336" 8.88 5.97
"337" 8.9 6.05
"338" 8.9 6.1
"339" 8.9 6.35
"340" 8.9 6.41
"341" 8.93 6.41
"342" 8.9 6.5
"343" 8.93 6.49
"344" 8.9 6.5
"345" 8.9 6.58
"346" 8.93 6.42
"347" 8.93 6.51
"348" 8.93 6.55
"349" 8.95 6.51
"350" 8.95 6.49
"351" 8.95 6.54
"352" 8.95 6.65
"353" 9 6.69
"354" 9 6.58
"355" 9.03 6.78
"356" 8.98 6.72
"357" 9.05 6.8
"358" 9.18 6.75
"359" 9.15 6.76
"360" 9.15 6.78
"361" 9.15 6.8
"362" 9.15 6.76
"363" 9.15 6.77
"364" 9.23 6.77
"365" 9.23 6.82
"366" 9.25 6.86
"367" 9.28 6.74
"368" 9.33 6.78
"369" 9.38 7
"370" 9.43 7.27
"371" 9.5 7.32
"372" 9.55 7.34
"373" 9.58 7.43
"374" 9.68 7.36
"375" 9.68 7.47
"376" 9.7 7.49
"377" 9.73 7.53
"378" 9.7 7.78
"379" 9.73 7.72
"380" 9.73 7.72
"381" 9.73 7.94
"382" 9.75 7.88
"383" 9.75 7.89
"384" 9.78 7.83
"385" 9.78 7.87
"386" 9.78 8.14
"387" 9.8 8.28
"388" 9.75 8.3
"389" 9.75 8.33
"390" 9.75 8.36
"391" 9.75 8.62
"392" 9.78 8.85
"393" 9.85 8.71
"394" 9.85 8.78
"395" 9.85 9.24
"396" 9.88 9.29
"397" 9.9 9.77
"398" 10.05 9.68
"399" 10.2 9.68
"400" 10.28 9.85
"401" 10.3 9.87
"402" 10.35 9.79
"403" 10.35 9.75
"404" 10.35 10.25
"405" 10.38 10.59
"406" 10.38 9.97
"407" 10.38 10.05
"408" 10.4 10.05
"409" 10.4 10.12
"410" 10.4 10.06
"411" 10.43 10.15
"412" 10.4 9.97
"413" 10.4 10.06
"414" 10.43 10.07
"415" 10.4 10.21
"416" 10.4 10.09
"417" 10.45 10
"418" 10.45 9.95
"419" 10.48 9.93
"420" 10.48 9.96
"421" 10.5 10.09
"422" 10.53 10.22
"423" 10.6 10.25
"424" 10.68 10.25
"425" 10.73 10.17
"426" 10.75 10.28
"427" 10.9 10.23
"428" 11.03 10.23
"429" 11.05 10.28
"430" 11.1 10.32
"431" 11.1 10.42
"432" 11.13 10.28
"433" 11.08 10.35
"434" 11.08 10.63
"435" 11.08 10.75
"436" 11.08 10.67
"437" 11.08 10.8
"438" 11.08 11.04
"439" 11.1 11.16
"440" 11.13 11.02
"441" 11.2 11.3
"442" 11.3 11.37
"443" 11.35 11.61
"444" 11.35 11.91
"445" 11.35 12
"446" 11.45 13.22
"447" 11.75 15.14
"448" 12 15.61
"449" 12.8 13.77
"450" 12.85 13.3
"451" 12.8 13.1
"452" 12.8 12.46
"453" 12.9 13.77
"454" 12.9 13.79
"455" 12.9 13.9
"456" 12.9 13.49
"457" 12.9 14.04
"458" 12.85 13.94
"459" 12.9 13.91
"460" 12.87 13.77
"461" 12.89 13.54
"462" 12.85 12.8
"463" 12.85 13.64
"464" 12.88 14.87
"465" 13.03 14.62
"466" 13.59 16.17
"467" 14 16.45
"468" 15.4 16.24
"469" 15.7 17.78
"470" 16.03 19.39
"471" 16.35 19.04
"472" 16.35 18.35
"473" 16.35 17.56
"474" 16.25 15.12
"475" 15.9 12.96
"476" 14.68 10.85
"477" 14.15 10.71
"478" 13.38 9.46
"479" 13.2 10.74
