  44.72000	 2616.980
 45.86000	 3417.010
 50.25000	 4173.470
 43.97000	 4566.050
 55.71000	 4821.960
 58.54000	 5417.260
 107.9500	 5847.790
 108.8500	 5778.400
 111.9000	 6121.610
 128.1500	 7176.160
 130.0000	 7062.260
 129.0100	 6797.200
 135.5600	 7693.560
 148.1700	 8713.010
 141.8700	 10211.81
 116.6700	 9713.440
 142.5800	 9472.880
 138.0700	 9032.560
 131.8200	 8398.700
 135.6000	 8199.090
 116.9900	 8658.660
 96.81000	 8134.220
 105.2700	 8395.480
 105.6700	 8298.140
 127.2700	 7725.940
 140.9300	 7731.510
 160.7000	 8841.600
 142.2000	 9988.240
 167.5400	 11531.30
 171.8900	 12786.64
 167.6000	 13373.70
 159.7000	 13264.60
 153.4900	 12301.47
 140.3900	 10696.25
 160.0200	 11042.65
 184.0800	 11922.00
 189.7700	 11941.34
 206.6300	 12320.92
 219.2200	 13352.82
 223.5800	 14454.77
 230.1900	 15660.66
